,Longitude,Latitude,OTHER Number of Speeding Charges,OTHER Average Speed Over Limit,OTHER Number of Citations for Each Stop,OTHER Racial Composition,OTHER Percent of Charges that were CHANGED,OTHER Percent of Charges that were NOT CHANGED,OTHER All Speeds Over Limit,NATIVE AMERICAN Number of Speeding Charges,NATIVE AMERICAN Average Speed Over Limit,NATIVE AMERICAN Number of Citations for Each Stop,NATIVE AMERICAN Racial Composition,NATIVE AMERICAN Percent of Charges that were CHANGED,NATIVE AMERICAN Percent of Charges that were NOT CHANGED,NATIVE AMERICAN All Speeds Over Limit,WHITE Number of Speeding Charges,WHITE Average Speed Over Limit,WHITE Number of Citations for Each Stop,WHITE Racial Composition,WHITE Percent of Charges that were CHANGED,WHITE Percent of Charges that were NOT CHANGED,WHITE All Speeds Over Limit,ASIAN Number of Speeding Charges,ASIAN Average Speed Over Limit,ASIAN Number of Citations for Each Stop,ASIAN Racial Composition,ASIAN Percent of Charges that were CHANGED,ASIAN Percent of Charges that were NOT CHANGED,ASIAN All Speeds Over Limit,HISPANIC Number of Speeding Charges,HISPANIC Average Speed Over Limit,HISPANIC Number of Citations for Each Stop,HISPANIC Racial Composition,HISPANIC Percent of Charges that were CHANGED,HISPANIC Percent of Charges that were NOT CHANGED,HISPANIC All Speeds Over Limit,TOTAL Number of Speeding Charges,TOTAL Average Speed Over Limit,TOTAL Number of Citations for Each Stop,TOTAL Racial Composition,TOTAL Percent of Charges that were CHANGED,TOTAL Percent of Charges that were NOT CHANGED,TOTAL All Speeds Over Limit,BLACK Number of Speeding Charges,BLACK Average Speed Over Limit,BLACK Number of Citations for Each Stop,BLACK Racial Composition,BLACK Percent of Charges that were CHANGED,BLACK Percent of Charges that were NOT CHANGED,BLACK All Speeds Over Limit
0,-77.61,38.91,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
1,-77.61,38.92,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
2,-77.61,38.93,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
3,-77.61,38.94,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
4,-77.61,38.95,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
5,-77.61,38.96,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
6,-77.61,38.97,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
7,-77.61,38.98,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
8,-77.61,38.99,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
9,-77.61,39.0,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
10,-77.61,39.01,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
11,-77.61,39.02,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
12,-77.61,39.03,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
13,-77.61,39.04,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
14,-77.61,39.05,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
15,-77.61,39.06,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
16,-77.61,39.07,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
17,-77.61,39.08,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
18,-77.61,39.09,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
19,-77.61,39.1,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
20,-77.61,39.11,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
21,-77.61,39.12,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
22,-77.61,39.13,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
23,-77.61,39.14,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
24,-77.61,39.15,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
25,-77.61,39.16,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
26,-77.61,39.17,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
27,-77.61,39.18,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
28,-77.61,39.19,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
29,-77.61,39.2,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
30,-77.61,39.21,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
31,-77.61,39.22,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
32,-77.61,39.23,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
33,-77.61,39.24,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
34,-77.61,39.25,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
35,-77.61,39.26,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
36,-77.61,39.27,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
37,-77.61,39.28,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
38,-77.61,39.29,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
39,-77.61,39.3,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
40,-77.61,39.31,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
41,-77.61,39.32,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
42,-77.61,39.33,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
43,-77.61,39.34,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
44,-77.61,39.35,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
45,-77.61,39.36,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
46,-77.61,39.37,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
47,-77.61,39.38,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
48,-77.61,39.39,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
49,-77.61,39.4,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
50,-77.61,39.41,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
51,-77.61,39.42,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
52,-77.61,39.43,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
53,-77.61,39.44,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
54,-77.61,39.45,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
55,-77.61,39.46,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
56,-77.61,39.47,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
57,-77.61,39.48,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
58,-77.61,39.49,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
59,-77.61,39.5,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
60,-77.6,38.91,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
61,-77.6,38.92,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
62,-77.6,38.93,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
63,-77.6,38.94,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
64,-77.6,38.95,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
65,-77.6,38.96,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
66,-77.6,38.97,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
67,-77.6,38.98,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
68,-77.6,38.99,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
69,-77.6,39.0,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
70,-77.6,39.01,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
71,-77.6,39.02,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
72,-77.6,39.03,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
